,country,year,month,coal_perc,gas_perc,nuclear_perc,hydro_perc,wind_perc,solar_perc,renewables_perc,season,avg_temp_c,max_temp_c,min_temp_c,avg_sealevel_pressure_hpa,avg_daily_precipitation_mm,female_perc,male_perc,population_density,population_below_14_perc,population_above_65_perc,population_working_age_perc
2764,Portugal,2015,5,0.12464925108171854,0.08939671367141809,0.0,0.1049828046561372,0.12974224066672568,0.01057024412957709,0.2734991060980544,Spring,18.677852348993287,36.7,4.2,1020.225,1.9082706766917292,52,48,113,14,20,66
2765,Portugal,2015,6,0.17036150247270976,0.12218090747295461,0.0,0.07662265181961228,0.06464295791379833,0.011342958509725665,0.19045876299477837,Summer,21.015730337078654,40.7,7.0,1018.4409090909091,0.4734375,52,48,113,14,20,66
2766,Portugal,2015,7,0.1670187502662904,0.11978352612265963,0.0,0.05582072144661806,0.09257027086262036,0.011174813608527808,0.19653853766358195,Summer,23.50326086956522,40.0,11.8,1018.6428571428571,0.4970414201183432,52,48,113,14,20,66
2767,Portugal,2015,8,0.1665512355899883,0.11944825881028176,0.0,0.055072818362329176,0.09488408693889301,0.010641854856744806,0.19738030171580004,Summer,22.32336956521739,38.8,9.8,1019.4708333333333,0.7310975609756097,52,48,113,14,20,66
2768,Portugal,2015,9,0.16988168291270944,0.12183674682771893,0.0,0.06284593118770829,0.08200873061818409,0.008920501306463473,0.19133334376417943,Autumn,19.836666666666666,33.7,6.5,1017.8000000000001,1.7182926829268292,52,48,113,14,20,66
2769,Portugal,2015,10,0.14073616003637346,0.10093397449710287,0.0,0.08172647272859664,0.12603321616670823,0.005172060522495696,0.24428796827314628,Autumn,17.298387096774192,31.1,2.8,1015.0560975609757,4.765644171779141,52,48,113,14,20,66
2770,Portugal,2015,11,0.1458176471398166,0.10457844811822443,0.0,0.09508556841209463,0.10089915254093991,0.0065171227408559905,0.23504747949592575,Autumn,14.907692307692308,26.3,-1.0,1025.9228571428573,1.5846715328467154,52,48,113,14,20,66
2771,Portugal,2015,12,0.13854452326184585,0.09936224687754697,0.0,0.07591616019052877,0.1369533737824467,0.004309377870312323,0.2482610580950038,Winter,12.938586956521737,22.9,-2.5,1024.9305555555557,2.745222929936306,52,48,113,14,20,66
2772,Portugal,2016,1,0.07494680413279071,0.07466197449149609,0.0,0.1939384932232388,0.12485271424300232,0.0033166926420815,0.3417275075012419,Winter,12.176502732240438,21.8,-3.1,1021.2466666666667,8.294339622641509,52,48,112,13,21,66
2773,Portugal,2016,2,0.05980810955444247,0.05958088618903784,0.0,0.21514837363331235,0.13819631937556115,0.004468427640284902,0.37369735047883046,Winter,12.48380281690141,23.9,-2.8,1026.206,6.500793650793651,52,48,112,13,21,66
