;country;year;month;season;avg_sealevel_pressure_hpa;avg_daily_precipitation_mm;female_perc;male_perc;population_density;coal;nuclear;hydro;solar;wind;renewables;avg_temp;min_temp;max_temp;population_below_14;population_above_65;population_working_age
83;Australia;2013;12;Summer;low;low;50;50;very low;very high;very low or none;low;medium;low;low;high;medium;very high;high;low;medium
84;Australia;2014;1;Summer;low;medium;50;50;very low;high;very low or none;very low or none;medium;low;very low or none;high;high;very high;high;low;medium
85;Australia;2014;2;Summer;low;medium;50;50;very low;high;very low or none;very low or none;medium;low;very low or none;high;high;very high;high;low;medium
86;Australia;2014;3;Autumn;medium;medium;50;50;very low;very high;very low or none;very low or none;low;low;very low or none;high;high;high;high;low;medium
87;Australia;2014;4;Autumn;medium;medium;50;50;very low;very high;very low or none;low;low;low;very low or none;high;medium;high;high;low;medium
88;Australia;2014;5;Autumn;medium;low;50;50;very low;high;very low or none;low;low;medium;low;medium;medium;high;high;low;medium
89;Australia;2014;6;Winter;medium;medium;50;50;very low;high;very low or none;low;low;medium;low;medium;medium;high;high;low;medium
90;Australia;2014;7;Winter;medium;medium;50;50;very low;very high;very low or none;low;low;medium;low;medium;low;high;high;low;medium
91;Australia;2014;8;Winter;high;medium;50;50;very low;very high;very low or none;low;low;low;very low or none;medium;low;high;high;low;medium
92;Australia;2014;9;Spring;medium;low;50;50;very low;very high;very low or none;low;medium;medium;low;medium;medium;high;high;low;medium
93;Australia;2014;10;Spring;medium;low;50;50;very low;very high;very low or none;very low or none;medium;medium;low;high;medium;high;high;low;medium
94;Australia;2014;11;Spring;medium;medium;50;50;very low;high;very low or none;very low or none;medium;medium;very low or none;high;medium;high;high;low;medium
95;Australia;2014;12;Summer;low;medium;50;50;very low;very high;very low or none;very low or none;medium;medium;very low or none;high;high;high;high;low;medium
96;Australia;2015;1;Summer;low;high;50;50;very low;very high;very low or none;very low or none;medium;medium;very low or none;high;high;very high;high;low;medium
97;Australia;2015;2;Summer;medium;medium;50;50;very low;very high;very low or none;very low or none;medium;medium;very low or none;high;high;high;high;low;medium
98;Australia;2015;3;Autumn;medium;medium;50;50;very low;very high;very low or none;very low or none;medium;medium;very low or none;high;medium;high;high;low;medium
99;Australia;2015;4;Autumn;medium;medium;50;50;very low;very high;very low or none;very low or none;low;medium;very low or none;medium;medium;high;high;low;medium
100;Australia;2015;5;Autumn;high;medium;50;50;very low;very high;very low or none;low;low;medium;low;medium;low;high;high;low;medium
101;Australia;2015;6;Winter;high;low;50;50;very low;very high;very low or none;low;low;medium;low;medium;low;high;high;low;medium
102;Australia;2015;7;Winter;high;low;50;50;very low;very high;very low or none;low;low;medium;low;medium;low;high;high;low;medium
103;Australia;2015;8;Winter;medium;low;50;50;very low;very high;very low or none;low;low;medium;low;medium;low;high;high;low;medium
104;Australia;2015;9;Spring;medium;low;50;50;very low;very high;very low or none;low;medium;medium;low;medium;medium;high;high;low;medium
105;Australia;2015;10;Spring;high;low;50;50;very low;very high;very low or none;very low or none;medium;medium;low;high;medium;high;high;low;medium
106;Australia;2015;11;Spring;low;low;50;50;very low;very high;very low or none;very low or none;medium;medium;very low or none;high;medium;very high;high;low;medium
107;Australia;2015;12;Summer;low;medium;50;50;very low;very high;very low or none;very low or none;medium;medium;low;high;medium;very high;high;low;medium
108;Australia;2016;1;Summer;low;medium;50;50;very low;very high;very low or none;low;medium;medium;low;high;high;very high;high;low;low
109;Australia;2016;2;Summer;low;low;50;50;very low;very high;very low or none;very low or none;medium;medium;low;high;high;very high;high;low;low
110;Australia;2016;3;Autumn;medium;medium;50;50;very low;very high;very low or none;very low or none;medium;low;low;high;high;very high;high;low;low
111;Australia;2016;4;Autumn;medium;low;50;50;very low;very high;very low or none;very low or none;medium;medium;low;high;medium;high;high;low;low
112;Australia;2016;5;Autumn;low;medium;50;50;very low;very high;very low or none;low;low;medium;low;medium;medium;high;high;low;low
113;Australia;2016;6;Winter;medium;medium;50;50;very low;very high;very low or none;low;low;medium;low;medium;low;high;high;low;low
114;Australia;2016;7;Winter;medium;medium;50;50;very low;very high;very low or none;low;low;medium;low;medium;low;high;high;low;low
115;Australia;2016;8;Winter;medium;medium;50;50;very low;very high;very low or none;low;medium;medium;low;medium;medium;high;high;low;low
116;Australia;2016;9;Spring;low;medium;50;50;very low;very high;very low or none;low;medium;medium;low;medium;medium;high;high;low;low
117;Australia;2016;10;Spring;low;medium;50;50;very low;very high;very low or none;low;high;medium;low;medium;medium;high;high;low;low
118;Australia;2016;11;Spring;low;medium;50;50;very low;very high;very low or none;low;high;medium;low;high;medium;high;high;low;low
119;Australia;2016;12;Summer;low;medium;50;50;very low;very high;very low or none;low;high;medium;low;high;high;very high;high;low;low
120;Australia;2017;1;Summer;very low;medium;50;50;very low;very high;very low or none;very low or none;medium;medium;low;high;high;very high;high;low;low
